"state","called","final","winner","trump_percent","winner_num","dem_votes","rep_votes","other_votes","dem_percent","rep_percent","other_percent","dem_this_margin","stateid","EV","X","Y","State_num","Center_X","Center_Y","","","",""
"Maryland","D","Yes","Joe Biden","32.2","1","1,985,023","976,414","75,593","65.4%","32.2%","2.5%","33.2%","MD","10","10","3","24","825","254","","","",""
"Massachusetts","D","Yes","Joe Biden","32.1","1","2,382,202","1,167,202","81,998","65.6%","32.1%","2.3%","33.5%","MA","11","10","5","25","895","169","","","",""
"Mississippi","R","Yes","Donald Trump","57.6","0","539,508","756,789","17,597","41.1%","57.6%","1.3%","-16.5%","MS","6","5","1","28","617","427","","","",""
"Missouri","R","Yes","Donald Trump","56.8","0","1,253,014","1,718,736","54,212","41.4%","56.8%","1.8%","-15.4%","MO","10","5","3","29","557","305","","","",""
"Montana","R","Yes","Donald Trump","56.9","0","244,786","343,602","15,286","40.5%","56.9%","2.5%","-16.4%","MT","3","3","5","30","289","95","","","",""
"Nebraska","R","Yes","Donald Trump","58.5","0","374,583","556,846","20,283","39.4%","58.5%","2.1%","-19.2%","NE","2","4","3","31","438","238","","","",""
"Nebraska 1st District","R","Yes","Donald Trump","56.3","0","132,261","180,290","7,495","41.3%","56.3%","2.3%","-15.0%","NE1","1","12","7","103","438","238","","","",""
"Nebraska 3rd District","R","Yes","Donald Trump","75.6","0","65,854","222,179","5,879","22.4%","75.6%","2.0%","-53.2%","NE3","1","12","5","105","438","238","","","",""
"New Jersey","D","Yes","Joe Biden","41.4","1","2,608,335","1,883,274","57,744","57.3%","41.4%","1.3%","15.9%","NJ","14","9","4","34","865","231","","","",""
"New Mexico","D","Yes","Joe Biden","43.5","1","501,614","401,894","20,457","54.3%","43.5%","2.2%","10.8%","NM","5","3","2","35","309","385","","","",""
"New York","D","Yes","Joe Biden","37.7","1","5,241,957","3,250,075","119,043","60.9%","37.7%","1.4%","23.1%","NY","29","9","5","36","838","168","","","",""
"North Dakota","R","Yes","Donald Trump","65.1","0","114,902","235,595","11,322","31.8%","65.1%","3.1%","-33.4%","ND","3","4","5","38","426","97","","","",""
